amount,hour,location_code,device_type,transaction_type,prev_txn_count,fraud
134.78,12,0,0,0,5,0
318.15,0,1,0,1,11,1
142.39,11,1,0,1,4,0
4346.94,20,0,1,1,2,0
1084.2,20,0,0,0,3,0
43137.25,23,2,2,1,14,1
351.46,22,1,2,1,8,1
3866.84,9,0,0,1,2,0
4171.38,10,0,0,0,5,0
4682.97,18,0,1,2,1,0
1231.36,15,1,0,2,5,0
3425.54,21,0,0,0,2,0
340.21,17,0,0,2,3,0
4572.68,15,0,0,0,1,0
2698.96,19,1,1,1,2,0
4986.72,16,1,0,0,0,0
808.15,18,1,1,0,3,0
4979.65,16,0,1,0,5,0
3411.05,16,0,1,1,0,0
799.05,8,0,1,0,4,0
4353.02,12,0,0,1,1,0
3894.57,16,0,1,1,3,0
451.49,1,1,0,1,9,1
4081.14,20,0,0,2,3,0
833.82,16,1,0,2,5,0
3566.9,14,0,0,2,3,0
15111.38,22,1,0,1,19,1
1152.19,8,0,0,2,1,0
2431.73,16,0,1,2,4,0
3924.47,20,1,0,0,0,0
1777.59,14,1,1,0,5,0
3233.79,8,1,1,1,0,0
958.95,15,0,0,0,2,0
4372.81,9,1,1,0,0,0
2706.99,8,0,0,0,3,0
1076.39,14,0,0,1,0,0
1333.1,20,1,0,1,5,0
4976.16,16,1,0,0,2,0
301.77,19,0,1,1,0,0
26455.48,0,1,0,1,17,1
43781.86,22,1,2,1,14,1
2829.92,13,0,0,2,5,0
1335.15,10,0,0,1,0,0
32952.17,0,1,2,2,10,1
4404.63,11,0,0,0,3,0
3519.96,17,0,1,2,2,0
526.79,10,0,0,0,5,0
1368.75,17,0,1,1,1,0
4265.18,16,1,0,0,0,0
4147.62,8,0,0,0,5,0
816.13,15,1,1,0,0,0
44739.79,2,1,1,1,8,1
4495.02,20,0,0,0,5,0
522.84,20,1,1,2,1,0
1191.08,10,0,0,0,1,0
1667.27,14,0,0,0,5,0
44247.51,1,2,1,2,20,1
1122.17,18,0,0,1,2,0
4833.81,12,0,1,2,3,0
4219.03,13,0,0,1,1,0
4916.93,8,0,1,1,2,0
1574.94,17,0,0,2,1,0
3546.13,8,0,0,1,0,0
4603.73,17,0,1,0,5,0
2540.03,18,1,0,1,5,0
645.04,14,1,1,2,1,0
1511.44,16,0,0,1,1,0
2903.54,18,0,0,1,3,0
2560.25,20,0,1,0,2,0
3167.74,13,0,0,2,2,0
1003.46,8,0,0,1,4,0
373.34,14,0,1,2,3,0
1227.24,18,0,0,1,1,0
4789.29,16,1,0,2,1,0
615.46,10,1,1,2,4,0
4749.75,15,1,1,1,1,0
2378.15,12,0,1,1,4,0
1203.6,15,0,1,1,1,0
1605.03,16,0,0,0,1,0
772.35,11,0,0,1,2,0
2084.3,11,1,0,2,5,0
330.28,0,2,1,2,14,1
3675.09,20,0,0,0,2,0
154.8,13,1,1,0,3,0
4902.82,16,0,0,2,4,0
428.81,14,0,0,0,0,0
1643.16,15,0,0,1,2,0
4160.47,12,0,0,0,5,0
4998.54,13,0,1,0,5,0
6396.35,22,1,0,1,15,1
2823.64,11,1,1,1,2,0
3039.56,19,0,0,1,0,0
4644.22,17,1,0,2,1,0
36077.65,23,2,2,1,20,1
3914.57,13,1,1,1,0,0
1712.4,21,1,0,0,3,0
3180.93,21,1,1,0,3,0
2612.99,18,0,1,2,3,0
4129.59,17,0,0,0,0,0
2259.05,20,1,1,2,5,0
153.18,21,0,0,1,1,0
1298.92,12,0,1,0,4,0
437.12,19,1,0,2,1,0
3232.41,15,1,0,0,2,0
3461.33,12,0,0,2,4,0
4982.19,16,0,0,2,3,0
1264.25,9,0,0,0,5,0
3812.56,10,0,0,2,3,0
2951.45,20,0,0,0,2,0
905.23,8,0,0,0,0,0
3489.42,10,1,0,0,4,0
2398.31,13,0,0,1,3,0
7940.45,1,1,2,2,9,1
600.95,20,1,1,2,4,0
2617.11,15,1,0,2,3,0
3108.31,17,0,0,2,1,0
415.04,11,0,1,0,1,0
337.52,0,1,1,2,19,1
365.12,11,0,1,2,5,0
996.92,9,0,1,0,2,0
366.26,10,0,1,2,4,0
2200.94,15,0,1,1,2,0
2473.54,9,0,0,2,2,0
